ticker,name,cik,gics_sector,gics_sub_industry,date_added
AA,Alcoa,0001675149,Materials,Aluminum,
AAL,American Airlines Group,0000006201,Industrials,Passenger Airlines,
AAON,AAON,0000824142,Industrials,Building Products,
ACI,Albertsons,0001646972,Consumer Staples,Food Retail,
ACM,AECOM,0000868857,Industrials,Construction & Engineering,
ADC,Agree Realty,0000917251,Real Estate,Retail REITs,
AEIS,Advanced Energy,0000927003,Information Technology,Semiconductor Materials & Equipment,
AFG,American Financial Group,0001042046,Financials,Multi-line Insurance,
AGCO,AGCO,0000880266,Industrials,Agricultural & Farm Machinery,
AHR,American Healthcare REIT,0001632970,Real Estate,Health Care REITs,
AIT,Applied Industrial Technologies,0000109563,Industrials,Trading Companies & Distributors,
ALGM,Allegro MicroSystems,0000866291,Information Technology,Semiconductors,
ALK,Alaska Air Group,0000766421,Industrials,Passenger Airlines,
ALLY,Ally Financial,0000040729,Financials,Consumer Finance,
ALSN,Allison Transmission,0001411207,Industrials,Construction Machinery & Heavy Transportation Equipment,
ALV,Autoliv,0001034670,Consumer Discretionary,Automotive Parts & Equipment,
AM,Antero Midstream,0001623925,Energy,Oil & Gas Storage & Transportation,
AMG,Affiliated Managers Group,0001004434,Financials,Asset Management & Custody Banks,
AMH,American Homes 4 Rent,0001562401,Real Estate,Single-Family Residential REITs,
AMKR,Amkor Technology,0001047127,Information Technology,Semiconductors,
AN,AutoNation,0000350698,Consumer Discretionary,Automotive Retail,
ANF,Abercrombie & Fitch,0001018840,Consumer Discretionary,Apparel Retail,
APG,APi Group,0001796209,Industrials,Construction & Engineering,
APPF,AppFolio,0001433195,Information Technology,Application Software,
AR,Antero Resources,0001433270,Energy,Oil & Gas Exploration & Production,
ARMK,Aramark,0001584509,Consumer Discretionary,Distributors,
ARW,Arrow Electronics,0000007536,Information Technology,Technology Distributors,
ARWR,Arrowhead Pharmaceuticals,0000879407,Health Care,Biotechnology,
ASB,Associated Bank,0000007789,Financials,Regional Banks,
ASH,Ashland Global,0001674862,Materials,Diversified Chemicals,
ATI,ATI Inc.,0001018963,Industrials,Aerospace & Defense,
ATR,AptarGroup,0000896622,Materials,"Metal, Glass & Plastic Containers",
AVAV,AeroVironment,0001368622,Industrials,Aerospace & Defense,
AVNT,Avient,0001122976,Materials,Specialty Chemicals,
AVT,Avnet,0000008858,Information Technology,Technology Distributors,
AVTR,Avantor,0001722482,Health Care,Life Sciences Tools & Services,
AXTA,Axalta,0001616862,Materials,Specialty Chemicals,
AYI,Acuity Brands,0001144215,Industrials,Electrical Components & Equipment,
BAH,Booz Allen Hamilton,0001443646,Industrials,Research & Consulting Services,
BBWI,"Bath & Body Works, Inc.",0000701985,Consumer Discretionary,Other Specialty Retail,
BC,Brunswick,0000014930,Consumer Discretionary,Leisure Products,
BCO,Brink's,0000078890,Industrials,Security & Alarm Services,
BDC,Belden Inc.,0000913142,Information Technology,Electronic Components,
BHF,Brighthouse Financial,0001685040,Financials,Life & Health Insurance,
BILL,Bill Holdings,0001786352,Information Technology,Application Software,
BIO,Bio-Rad Laboratories,0000012208,Health Care,Life Sciences Tools & Services,
BJ,BJ's Wholesale Club,0001531152,Consumer Staples,Consumer Staples Merchandise Retail,
BKH,Black Hills Corporation,0001130464,Utilities,Multi-Utilities,
BMRN,BioMarin Pharmaceutical,0001048477,Health Care,Biotechnology,
BRKR,Bruker,0001109354,Health Care,Health Care Equipment,
BROS,Dutch Bros Inc.,0001866581,Consumer Discretionary,Restaurants,
BRX,Brixmor Property Group,0001581068,Real Estate,Retail REITs,
BSY,Bentley Systems,0001031308,Information Technology,Application Software,
BTSG,BrightSpring Health Services,0001865782,Health Care,Health Care Services,
BURL,Burlington Stores,0001579298,Consumer Discretionary,Apparel Retail,
BWA,BorgWarner,0000908255,Consumer Discretionary,Automotive Parts & Equipment,
BWXT,BWX Technologies,0001486957,Industrials,Aerospace & Defense,
BYD,Boyd Gaming,0000906553,Consumer Discretionary,Casinos & Gaming,
CACI,CACI International,0000016058,Industrials,Diversified Support Services,
CAR,Avis Budget Group,0000723612,Industrials,Passenger Ground Transportation,
CART,Maplebear Inc.,0001579091,Consumer Staples,Food Retail,
CAVA,Cava Group,0001639438,Consumer Discretionary,Restaurants,
CBSH,Commerce Bancshares,0000022356,Financials,Regional Banks,
CBT,Cabot Corp,0000016040,Materials,Diversified Chemicals,
CCK,Crown Holdings,0001219601,Materials,Paper & Plastic Packaging Products & Materials,
CDE,Coeur Mining,0000215466,Materials,Gold,
CDP,COPT Defense Properties,0000860546,Real Estate,Office REITs,
CELH,Celsius Holdings,0001341766,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
CFR,Frost Bank,0000039263,Financials,Regional Banks,
CG,Carlyle Group (The),0001527166,Financials,Asset Management & Custody Banks,
CGNX,Cognex,0000851205,Information Technology,Electronic Equipment & Instruments,
CHDN,Churchill Downs Inc.,0000020212,Consumer Discretionary,Casinos & Gaming,
CHE,Chemed Corp.,0000019584,Health Care,Health Care Services,
CHH,Choice Hotels,0001046311,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
CHRD,Chord Energy,0001486159,Energy,Oil & Gas Exploration & Production,
CHWY,Chewy,0001766502,Consumer Discretionary,Other Specialty Retail,
CLF,Cleveland-Cliffs,0000764065,Materials,Steel,
CLH,Clean Harbors,0000822818,Industrials,Environmental & Facilities Services,
CMC,Commercial Metals,0000022444,Materials,Steel,
CNH,CNH Industrial,0001567094,Industrials,Agricultural & Farm Machinery,
CNM,Core & Main,0001856525,Industrials,Trading Companies & Distributors,
CNO,CNO Financial Group,0001224608,Financials,Life & Health Insurance,
CNX,CNX Resources,0001070412,Energy,Oil & Gas Exploration & Production,
COKE,Coca-Cola Consolidated,0000317540,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
COLB,Columbia Banking System,0000887343,Financials,Regional Banks,
COLM,Columbia Sportswear,0001050797,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
CPRI,Capri Holdings,0001530721,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
CR,Crane,0001944013,Industrials,Industrial Machinery & Supplies & Components,
CRBG,Corebridge Financial,0001889539,Financials,Asset Management & Custody Banks,
CROX,Crocs,0001334036,Consumer Discretionary,Footwear,
CRS,Carpenter Technology,0000017843,Industrials,Industrial Machinery & Supplies & Components,
CRUS,Cirrus Logic,0000772406,Information Technology,Semiconductors,
CSL,Carlisle Companies,0000790051,Industrials,Industrial Conglomerates,
CTRE,CareTrust REIT,0001590717,Real Estate,Health Care REITs,
CUBE,CubeSmart,0001298675,Real Estate,Industrial REITs,
CUZ,Cousins Properties,0000025232,Real Estate,Office REITs,
CVLT,CommVault Systems,0001169561,Information Technology,Systems Software,
CW,Curtiss-Wright,0000026324,Industrials,Aerospace & Defense,
CXT,Crane NXT,0000025445,Information Technology,Electronic Equipment & Instruments,
CYTK,Cytokinetics,0001061983,Health Care,Biotechnology,
DAR,Darling Ingredients,0000916540,Consumer Staples,Agricultural Products & Services,
DBX,Dropbox,0001467623,Information Technology,Application Software,
DCI,Donaldson Company,0000029644,Industrials,Industrial Machinery & Supplies & Components,
DINO,HF Sinclair,0001915657,Energy,Oil & Gas Refining & Marketing,
DKS,Dick's Sporting Goods,0001089063,Consumer Discretionary,Specialty Stores,
DLB,Dolby,0001308547,Information Technology,Application Software,
DOCN,DigitalOcean,0001582961,Information Technology,Internet Services & Infrastructure,
DOCS,Doximity,0001516513,Health Care,Health Care Technology,
DOCU,Docusign,0001261333,Information Technology,Application Software,
DT,Dynatrace,0001773383,Information Technology,Application Software,
DTM,DT Midstream,0001842022,Energy,Oil & Gas Storage & Transportation,
DUOL,Duolingo,0001562088,Consumer Discretionary,Education Services,
DY,Dycom Industries,0000067215,Industrials,Construction & Engineering,
EEFT,Euronet Worldwide,0001029199,Financials,Transaction & Payment Processing Services,
EGP,EastGroup Properties,0000049600,Real Estate,Industrial REITs,
EHC,Encompass Health,0000785161,Health Care,Health Care Facilities,
ELAN,Elanco,0001739104,Health Care,Pharmaceuticals,
ELF,e.l.f. Beauty,0001600033,Consumer Staples,Personal Care Products,
ELS,Equity Lifestyle Properties,0000895417,Real Estate,Single-Family Residential REITs,
ENS,EnerSys,0001289308,Industrials,Electrical Components & Equipment,
ENSG,Ensign Group,0001125376,Health Care,Health Care Facilities,
ENTG,Entegris,0001101302,Information Technology,Semiconductor Materials & Equipment,
EPR,EPR Properties,0001045450,Real Estate,Other Specialized REITs,
EQH,Equitable Holdings,0001333986,Financials,Diversified Financial Services,
ESAB,ESAB,0001877322,Industrials,Industrial Machinery & Supplies & Components,
ESNT,Essent Group Ltd.,0001448893,Financials,Commercial & Residential Mortgage Finance,
EVR,Evercore,0001360901,Financials,Investment Banking & Brokerage,
EWBC,East West Bancorp,0001069157,Financials,Regional Banks,
EXEL,Exelixis,0000939767,Health Care,Biotechnology,
EXLS,EXL Service,0001297989,Industrials,Data Processing & Outsourced Services,
EXP,Eagle Materials,0000918646,Materials,Construction Materials,
EXPO,"Exponent, Inc.",0000851520,Industrials,Research & Consulting Services,
FAF,First American Financial Corporation,0001472787,Financials,Property & Casualty Insurance,
FBIN,Fortune Brands Innovations,0001519751,Industrials,Building Products,
FCFS,FirstCash,0000840489,Financials,Consumer Finance,
FCN,FTI Consulting,0000887936,Industrials,Research & Consulting Services,
FFIN,First Financial Bankshares,0000036029,Financials,Regional Banks,
FHI,Federated Hermes,0001056288,Financials,Asset Management & Custody Banks,
FHN,First Horizon,0000036966,Financials,Regional Banks,
FIVE,Five Below,0001177609,Consumer Discretionary,Specialty Stores,
FLG,Flagstar Bank,0000910073,Financials,Regional Banks,
FLR,Fluor,0001124198,Industrials,Construction & Engineering,
FLS,Flowserve,0000030625,Industrials,Industrial Machinery & Supplies & Components,
FN,Fabrinet,0001408710,Information Technology,Electronic Manufacturing Services,
FNB,FNB Corporation,0000037808,Financials,Regional Banks,
FND,Floor & Decor,0001507079,Consumer Discretionary,Home Improvement Retail,
FNF,Fidelity National Financial,0001331875,Financials,Property & Casualty Insurance,
FOUR,Shift4,0001794669,Financials,Transaction & Payment Processing Services,
FR,First Industrial Realty Trust,0000921825,Real Estate,Industrial REITs,
FTI,TechnipFMC,0001681459,Energy,Oil & Gas Equipment & Services,
G,Genpact,0001398659,Industrials,Data Processing & Outsourced Services,
GAP,Gap Inc.,0000039911,Consumer Discretionary,Apparel Retail,
GATX,GATX,0000040211,Industrials,Construction Machinery & Heavy Transportation Equipment,
GBCI,Glacier Bancorp,0000868671,Financials,Regional Banks,
GEF,"Greif, Inc.",0000043920,Materials,"Metal, Glass & Plastic Containers",
GGG,Graco Inc.,0000042888,Industrials,Industrial Machinery & Supplies & Components,
GHC,Graham Holdings,0000104889,Consumer Discretionary,Education Services,
GLPI,Gaming and Leisure Properties,0001575965,Real Estate,Other Specialized REITs,
GME,GameStop,0001326380,Consumer Discretionary,Computer & Electronics Retail,
GMED,Globus Medical,0001237831,Health Care,Health Care Equipment,
GNTX,Gentex,0000355811,Consumer Discretionary,Automotive Parts & Equipment,
GPK,Graphic Packaging,0001408075,Materials,Paper & Plastic Packaging Products & Materials,
GWRE,Guidewire Software,0001528396,Information Technology,Application Software,
GXO,GXO Logistics,0001852244,Industrials,Air Freight & Logistics,
H,Hyatt,0001468174,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
HAE,Haemonetics,0000313143,Health Care,Health Care Supplies,
HALO,Halozyme,0001159036,Health Care,Biotechnology,
HGV,Hilton Grand Vacations,0001674168,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
HIMS,Hims & Hers Health,0001773751,Health Care,Health Care Services,
HL,Hecla Mining,0000719413,Materials,Silver,
HLI,Houlihan Lokey,0001302215,Financials,Investment Banking & Brokerage,
HLNE,Hamilton Lane,0001433642,Financials,Asset Management & Custody Banks,
HOG,Harley-Davidson,0000793952,Consumer Discretionary,Motorcycle Manufacturers,
HOMB,Home BancShares,0001331520,Financials,Regional Banks,
HQY,HealthEquity,0001428336,Health Care,Managed Health Care,
HR,Healthcare Realty Trust,0001360604,Real Estate,Health Care REITs,
HRB,H&R Block,0000012659,Consumer Discretionary,Specialized Consumer Services,
HWC,Hancock Whitney,0000750577,Financials,Regional Banks,
HXL,Hexcel,0000717605,Industrials,Aerospace & Defense,
IBOC,Intl Bancshares Corp,0000315709,Financials,Regional Banks,
IDA,Idacorp,0001057877,Utilities,Electric Utilities,
IDCC,InterDigital,0001405495,Information Technology,Communications Equipment,
IESC,IES Holdings,0001048268,Industrials,Construction & Engineering,
ILMN,"Illumina, Inc.",0001110803,Health Care,Life Sciences Tools & Services,
INGR,Ingredion,0001046257,Consumer Staples,Agricultural Products & Services,
IPGP,IPG Photonics,0001111928,Information Technology,Electronic Manufacturing Services,
IRT,Independence Realty Trust,0001466085,Real Estate,Multi-Family Residential REITs,
ITT,ITT Inc.,0000216228,Industrials,Industrial Machinery & Supplies & Components,
JAZZ,Jazz Pharmaceuticals,0001232524,Health Care,Pharmaceuticals,
JEF,Jefferies,0000096223,Financials,Multi-Sector Holdings,
JLL,Jones Lang LaSalle,0001037976,Real Estate,Real Estate Services,
KBH,KB Home,0000795266,Consumer Discretionary,Homebuilding,
KBR,"KBR, Inc.",0001357615,Industrials,Diversified Support Services,
KD,Kyndryl,0001867072,Information Technology,IT Consulting & Other Services,
KEX,Kirby Corporation,0000056047,Industrials,Marine Transportation,
KNF,Knife River Corporation,0001955520,Materials,Construction Materials,
KNSL,Kinsale Capital Group,0001669162,Financials,Property & Casualty Insurance,
KNX,Knight-Swift,0001492691,Industrials,Cargo Ground Transportation,
KRC,Kilroy Realty Corp,0001025996,Real Estate,Office REITs,
KRG,Kite Realty Group Trust,0001286043,Real Estate,Retail REITs,
KRYS,Krystal Biotech,0001711279,Health Care,Biotechnology,
KTOS,Kratos Defense & Security Solutions,0001069258,Industrials,Aerospace & Defense,
LAD,Lithia Motors,0001023128,Consumer Discretionary,Automotive Retail,
LAMR,Lamar Advertising Company,0001090425,Real Estate,Other Specialized REITs,
LEA,Lear,0000842162,Consumer Discretionary,Automotive Parts & Equipment,
LECO,Lincoln Electric,0000059527,Industrials,Industrial Machinery & Supplies & Components,
LFUS,Littelfuse,0000889331,Information Technology,Electronic Components,
LIVN,LivaNova,0001639691,Health Care,Health Care Equipment,
LNTH,Lantheus Holdings,0001521036,Health Care,Health Care Supplies,
LOPE,Grand Canyon Education,0001434588,Consumer Discretionary,Education Services,
LPX,Louisiana-Pacific,0000060519,Industrials,Building Products,
LSCC,Lattice Semiconductor,0000855658,Information Technology,Semiconductors,
LSTR,Landstar System,0000853816,Industrials,Cargo Ground Transportation,
M,Macy's,0000794367,Consumer Discretionary,Broadline Retail,
MANH,Manhattan Associates,0001056696,Information Technology,Application Software,
MAT,Mattel,0000063276,Consumer Discretionary,Leisure Products,
MEDP,Medpace,0001668397,Health Care,Life Sciences Tools & Services,
MIDD,Middleby,0000769520,Industrials,Industrial Machinery & Supplies & Components,
MKSI,MKS Instruments,0001049502,Information Technology,Semiconductor Materials & Equipment,
MLI,Mueller Industries,0000089439,Industrials,Industrial Machinery & Supplies & Components,
MMS,Maximus Inc.,0001032220,Industrials,Data Processing & Outsourced Services,
MOG.A,Moog Inc.,0000067887,Industrials,Aerospace & Defense,
MOH,Molina Healthcare,0001179929,Health Care,Managed Health Care,
MORN,"Morningstar, Inc.",0001289419,Financials,Financial Exchanges & Data,
MP,MP Materials,0001801368,Materials,Diversified Metals & Mining,
MSA,MSA Safety,0000066570,Industrials,Office Services & Supplies,
MSM,MSC Industrial Direct,0001003078,Industrials,Trading Companies & Distributors,
MTDR,Matador Resources,0001520006,Energy,Oil & Gas Exploration & Production,
MTG,MGIC Investment Corporation,0000876437,Financials,Reinsurance,
MTN,Vail Resorts,0000812011,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
MTSI,MACOM Technology Solutions,0001493594,Information Technology,Semiconductors,
MTZ,MasTec,0000015615,Industrials,Construction & Engineering,
MUR,Murphy Oil,0000717423,Energy,Oil & Gas Exploration & Production,
MUSA,Murphy USA,0001573516,Consumer Discretionary,Automotive Retail,
MZTI,The Marzetti Company,0000057515,Consumer Staples,Packaged Foods & Meats,
NBIX,Neurocrine Biosciences,0000914475,Health Care,Biotechnology,
NEU,NewMarket Corporation,0001282637,Materials,Specialty Chemicals,
NFG,National Fuel Gas,0000070145,Utilities,Gas Utilities,
NJR,New Jersey Resources,0000356309,Utilities,Gas Utilities,
NLY,Annaly Capital Management,0001043219,Financials,Mortgage REITs,
NNN,NNN Reit,0000751364,Real Estate,Retail REITs,
NOV,NOV Inc.,0001021860,Energy,Oil & Gas Equipment & Services,
NOVT,Novanta,0001076930,Information Technology,Electronic Equipment & Instruments,
NTNX,Nutanix,0001618732,Information Technology,Systems Software,
NVST,Envista Holdings,0001757073,Health Care,Health Care Supplies,
NVT,nVent Electric plc,0001720635,Industrials,Electrical Components & Equipment,
NWE,NorthWestern Energy,0001993004,Utilities,Multi-Utilities,
NXST,Nexstar Media Group,0001142417,Communication Services,Broadcasting,
NXT,Nextpower,0001852131,Industrials,Electrical Components & Equipment,
NYT,New York Times Company,0000071691,Communication Services,Publishing,
OC,Owens Corning,0001370946,Industrials,Building Products,
OGE,OGE Energy,0001021635,Utilities,Multi-Utilities,
OGS,One Gas,0001587732,Utilities,Gas Utilities,
OHI,Omega Healthcare Investors,0000888491,Real Estate,Health Care REITs,
OKTA,"Okta, Inc.",0001660134,Information Technology,Application Software,
OLED,Universal Display,0001005284,Information Technology,Semiconductors,
OLLI,Ollie's Bargain Outlet,0001639300,Consumer Discretionary,Broadline Retail,
OLN,Olin Corporation,0000074303,Materials,Diversified Chemicals,
ONB,Old National Bank,0000707179,Financials,Regional Banks,
ONTO,Onto Innovation,0000704532,Information Technology,Semiconductor Materials & Equipment,
OPCH,Option Care Health,0001014739,Health Care,Health Care Facilities,
ORA,Ormat Technologies,0001296445,Utilities,Renewable Electricity,
ORI,Old Republic International,0000074260,Financials,Property & Casualty Insurance,
OSK,Oshkosh,0000775158,Industrials,Construction Machinery & Heavy Transportation Equipment,
OVV,Ovintiv,0001792580,Energy,Oil & Gas Exploration & Production,
OZK,Bank OZK,0001569650,Financials,Regional Banks,
P,Everpure,0001474432,Information Technology,"Technology Hardware, Storage & Peripherals",
PAG,Penske Automotive Group,0001019849,Consumer Discretionary,Automotive Retail,
PATH,UiPath,0001734722,Information Technology,Systems Software,
PB,Prosperity Bancshares,0001068851,Financials,Regional Banks,
PBF,PBF Energy,0001534504,Energy,Oil & Gas Refining & Marketing,
PCTY,Paylocity,0001591698,Industrials,Human Resource & Employment Services,
PEGA,Pegasystems,0001013857,Information Technology,Application Software,
PEN,"Penumbra, Inc.",0001321732,Health Care,Health Care Equipment,
PFGC,Performance Food Group,0001618673,Consumer Staples,Food Distributors,
PII,Polaris,0000931015,Consumer Discretionary,Leisure Products,
PINS,Pinterest,0001506293,Communication Services,Interactive Home Entertainment,
PK,Park Hotels & Resorts,0001617406,Real Estate,Hotel & Resort REITs,
PLNT,Planet Fitness,0001637207,Consumer Discretionary,Leisure Facilities,
PNFP,Pinnacle Financial Partners,0002082866,Financials,Regional Banks,
POR,Portland General Electric,0000784977,Utilities,Electric Utilities,
POST,Post Holdings,0001530950,Consumer Staples,Packaged Foods & Meats,
PPC,Pilgrim's Pride,0000802481,Consumer Staples,Packaged Foods & Meats,
PR,Permian Resources,0001658566,Energy,Oil & Gas Exploration & Production,
PRI,Primerica,0001475922,Financials,Life & Health Insurance,
PSN,Parsons Corporation,0000275880,Industrials,Aerospace & Defense,
PVH,PVH Corp.,0000078239,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
QLYS,Qualys,0001107843,Information Technology,Systems Software,
R,Ryder,0000085961,Industrials,Cargo Ground Transportation,
RBA,RB Global,0001046102,Industrials,Diversified Support Services,
RBC,RBC Bearings,0001324948,Industrials,Industrial Machinery & Supplies & Components,
REXR,Rexford Industrial Realty,0001571283,Real Estate,Industrial REITs,
RGA,Reinsurance Group of America,0000898174,Financials,Reinsurance,
RGEN,Repligen,0000730272,Health Care,Biotechnology,
RGLD,Royal Gold,0000085535,Materials,Gold,
RH,RH,0001528849,Consumer Discretionary,Homefurnishing Retail,
RLI,RLI Corp.,0000084246,Financials,Property & Casualty Insurance,
RMBS,Rambus,0000917273,Information Technology,Semiconductors,
RNR,RenaissanceRe,0000913144,Financials,Reinsurance,
ROIV,Roivant Sciences,0001635088,Health Care,Biotechnology,
ROKU,"Roku, Inc.",0001428439,Communication Services,Movies & Entertainment,
RPM,RPM International,0000110621,Materials,Specialty Chemicals,
RRC,Range Resources,0000315852,Energy,Oil & Gas Exploration & Production,
RRX,Regal Rexnord,0000082811,Industrials,Electrical Components & Equipment,
RS,"Reliance, Inc.",0000861884,Materials,Steel,
