effective_date,ticker
2011-11-20,AAI
2011-11-20,AAN
2011-11-20,AAP
2011-11-20,ACI
2011-11-20,ACIW
2011-11-20,ACM
2011-11-20,ACV
2011-11-20,ACXM
2011-11-20,ADS
2011-11-20,ADTN
2011-11-20,ADVS
2011-11-20,AEO
2011-11-20,AF
2011-11-20,AFG
2011-11-20,AGCO
2011-11-20,AGL
2011-11-20,AINV
2011-11-20,AJG
2011-11-20,ALB
2011-11-20,ALEX
2011-11-20,ALK
2011-11-20,AM
2011-11-20,AMB
2011-11-20,AME
2011-11-20,AMG
2011-11-20,ANN
2011-11-20,ANSS
2011-11-20,AOL
2011-11-20,ARE
2011-11-20,ARO
2011-11-20,ARW
2011-11-20,ASBC
2011-11-20,ASH
2011-11-20,ASNA
2011-11-20,ATK
2011-11-20,ATML
2011-11-20,ATO
2011-11-20,ATR
2011-11-20,ATW
2011-11-20,AVT
2011-11-20,AYI
2011-11-20,BBG
2011-11-20,BCO
2011-11-20,BEAV
2011-11-20,BEC
2011-11-20,BEZ
2011-11-20,BID
2011-11-20,BIO
2011-11-20,BJ
2011-11-20,BKH
2011-11-20,BKS
2011-11-20,BLUD
2011-11-20,BOBE
2011-11-20,BOH
2011-11-20,BR
2011-11-20,BRE
2011-11-20,BRO
2011-11-20,BUCY
2011-11-20,BWA
2011-11-20,BXS
2011-11-20,BYD
2011-11-20,BYI
2011-11-20,CAKE
2011-11-20,CATY
2011-11-20,CBB
2011-11-20,CBSH
2011-11-20,CBT
2011-11-20,CDNS
2011-11-20,CECO
2011-11-20,CFR
2011-11-20,CHD
2011-11-20,CHS
2011-11-20,CIEN
2011-11-20,CLGX
2011-11-20,CLH
2011-11-20,CLI
2011-11-20,CMC
2011-11-20,CMG
2011-11-20,CMP
2011-11-20,CNL
2011-11-20,CNQR
2011-11-20,CNW
2011-11-20,CPO
2011-11-20,CPRT
2011-11-20,CPT
2011-11-20,CR
2011-11-20,CREE
2011-11-20,CRK
2011-11-20,CRL
2011-11-20,CRS
2011-11-20,CSL
2011-11-20,CUZ
2011-11-20,CVD
2011-11-20,CVG
2011-11-20,CXW
2011-11-20,CYH
2011-11-20,CYN
2011-11-20,CYT
2011-11-20,DBD
2011-11-20,DCI
2011-11-20,DECK
2011-11-20,DKS
2011-11-20,DLTR
2011-11-20,DLX
2011-11-20,DPL
2011-11-20,DRE
2011-11-20,DRIV
2011-11-20,DRQ
2011-11-20,DST
2011-11-20,DWA
2011-11-20,DYN
2011-11-20,EAT
2011-11-20,EGN
2011-11-20,EK
2011-11-20,ENDP
2011-11-20,ENR
2011-11-20,EQIX
2011-11-20,EQY
2011-11-20,ESI
2011-11-20,ESS
2011-11-20,EV
2011-11-20,EW
2011-11-20,EWBC
2011-11-20,EXBD
2011-11-20,EXH
2011-11-20,FAF
2011-11-20,FCN
2011-11-20,FCS
2011-11-20,FDS
2011-11-20,FICO
2011-11-20,FL
2011-11-20,FLO
2011-11-20,FMER
2011-11-20,FNF
2011-11-20,FNFG
2011-11-20,FOSL
2011-11-20,FRT
2011-11-20,FST
2011-11-20,FTO
2011-11-20,FULT
2011-11-20,GDI
2011-11-20,GEF
2011-11-20,GES
2011-11-20,GGG
2011-11-20,GHL
2011-11-20,GMCR
2011-11-20,GMT
2011-11-20,GNTX
2011-11-20,GPN
2011-11-20,GPRO
2011-11-20,GVA
2011-11-20,GXP
2011-11-20,HANS
2011-11-20,HBI
2011-11-20,HCC
2011-11-20,HE
2011-11-20,HHS
2011-11-20,HIW
2011-11-20,HLX
2011-11-20,HMA
2011-11-20,HNI
2011-11-20,HNT
2011-11-20,HOLX
2011-11-20,HPT
2011-11-20,HRC
2011-11-20,HSC
2011-11-20,HSIC
2011-11-20,HUBB
2011-11-20,IBOC
2011-11-20,IDA
2011-11-20,IDTI
2011-11-20,IDXX
2011-11-20,IEX
2011-11-20,IM
2011-11-20,INFA
2011-11-20,IPI
2011-11-20,IRF
2011-11-20,ISCA
2011-11-20,ISIL
2011-11-20,IT
2011-11-20,ITRI
2011-11-20,JBHT
2011-11-20,JBLU
2011-11-20,JCG
2011-11-20,JEF
2011-11-20,JKHY
2011-11-20,JLL
2011-11-20,JOYG
2011-11-20,JWA
2011-11-20,KBH
2011-11-20,KBR
2011-11-20,KCI
2011-11-20,KEX
2011-11-20,KFY
2011-11-20,KMT
2011-11-20,KND
2011-11-20,KSU
2011-11-20,KWK
2011-11-20,LAMR
2011-11-20,LANC
2011-11-20,LECO
2011-11-20,LII
2011-11-20,LKQX
2011-11-20,LNCR
2011-11-20,LNT
2011-11-20,LPNT
2011-11-20,LPS
2011-11-20,LPX
2011-11-20,LRCX
2011-11-20,LRY
2011-11-20,LSTR
2011-11-20,LTM
2011-11-20,LZ
2011-11-20,MAC
2011-11-20,MAN
2011-11-20,MANT
2011-11-20,MASI
2011-11-20,MATW
2011-11-20,MCRS
2011-11-20,MCY
2011-11-20,MD
2011-11-20,MDC
2011-11-20,MDRX
2011-11-20,MDU
2011-11-20,MENT
2011-11-20,MHK
2011-11-20,MLHR
2011-11-20,MLM
2011-11-20,MRX
2011-11-20,MSA
2011-11-20,MSCI
2011-11-20,MSM
2011-11-20,MTD
2011-11-20,MTX
2011-11-20,NAL
2011-11-20,NATI
2011-11-20,NCI
2011-11-20,NCR
2011-11-20,NDN
2011-11-20,NDSN
2011-11-20,NEU
2011-11-20,NFG
2011-11-20,NHP
2011-11-20,NSR
2011-11-20,NST
2011-11-20,NVE
2011-11-20,NVR
2011-11-20,NYB
2011-11-20,NYT
2011-11-20,O
2011-11-20,OCR
2011-11-20,ODP
2011-11-20,OFC
2011-11-20,OGE
2011-11-20,OHI
2011-11-20,OII
2011-11-20,OLN
2011-11-20,OMI
2011-11-20,ORI
2011-11-20,OSG
