effective_date,ticker
2021-03-31,HVT
2021-03-31,HWKN
2021-03-31,HZO
2021-03-31,IBP
2021-03-31,IBTX
2021-03-31,ICHR
2021-03-31,IIIN
2021-03-31,IIPR
2021-03-31,ILPT
2021-03-31,INDB
2021-03-31,INGN
2021-03-31,INN
2021-03-31,INVA
2021-03-31,IOSP
2021-03-31,IPAR
2021-03-31,IRBT
2021-03-31,IRT
2021-03-31,ISBC
2021-03-31,ITGR
2021-03-31,ITRI
2021-03-31,IVC
2021-03-31,IVR
2021-03-31,JBSS
2021-03-31,JBT
2021-03-31,JJSF
2021-03-31,JOE
2021-03-31,JRVR
2021-03-31,KALU
2021-03-31,KAMN
2021-03-31,KELYA
2021-03-31,KFY
2021-03-31,KLIC
2021-03-31,KN
2021-03-31,KOP
2021-03-31,KRA
2021-03-31,KREF
2021-03-31,KRG
2021-03-31,KTB
2021-03-31,KWR
2021-03-31,LCI
2021-03-31,LCII
2021-03-31,LDL
2021-03-31,LGIH
2021-03-31,LL
2021-03-31,LMAT
2021-03-31,LMNX
2021-03-31,LNN
2021-03-31,LNTH
2021-03-31,LOCO
2021-03-31,LPG
2021-03-31,LPI
2021-03-31,LPSN
2021-03-31,LQDT
2021-03-31,LTC
2021-03-31,LTHM
2021-03-31,LXP
2021-03-31,LZB
2021-03-31,M
2021-03-31,MANT
2021-03-31,MATW
2021-03-31,MATX
2021-03-31,MCRI
2021-03-31,MCS
2021-03-31,MD
2021-03-31,MDC
2021-03-31,MDP
2021-03-31,MDRX
2021-03-31,MED
2021-03-31,MEI
2021-03-31,MERC
2021-03-31,MGLN
2021-03-31,MGPI
2021-03-31,MHO
2021-03-31,MIK
2021-03-31,MLAB
2021-03-31,MLI
2021-03-31,MMI
2021-03-31,MMSI
2021-03-31,MNRO
2021-03-31,MODV
2021-03-31,MOG.A
2021-03-31,MOV
2021-03-31,MPAA
2021-03-31,MRTN
2021-03-31,MSTR
2021-03-31,MTDR
2021-03-31,MTH
2021-03-31,MTOR
2021-03-31,MTRN
2021-03-31,MTRX
2021-03-31,MTSC
2021-03-31,MXL
2021-03-31,MYE
2021-03-31,MYGN
2021-03-31,MYRG
2021-03-31,NBHC
2021-03-31,NBR
2021-03-31,NBTB
2021-03-31,NEO
2021-03-31,NFBK
2021-03-31,NMIH
2021-03-31,NP
2021-03-31,NPK
2021-03-31,NPO
2021-03-31,NSA
2021-03-31,NSIT
2021-03-31,NTGR
2021-03-31,NTUS
2021-03-31,NWBI
2021-03-31,NWN
2021-03-31,NX
2021-03-31,NXGN
2021-03-31,NXRT
2021-03-31,NYMT
2021-03-31,ODP
2021-03-31,OFG
2021-03-31,OFIX
2021-03-31,OI
2021-03-31,OII
2021-03-31,OIS
2021-03-31,OMCL
2021-03-31,OMI
2021-03-31,ONB
2021-03-31,ONTO
2021-03-31,OPI
2021-03-31,OSIS
2021-03-31,OSPN
2021-03-31,OSUR
2021-03-31,OXM
2021-03-31,PAHC
2021-03-31,PARR
2021-03-31,PATK
2021-03-31,PBF
2021-03-31,PBH
2021-03-31,PBI
2021-03-31,PCRX
2021-03-31,PDCE
2021-03-31,PDFS
2021-03-31,PETS
2021-03-31,PFBC
2021-03-31,PFS
2021-03-31,PGTI
2021-03-31,PIPR
2021-03-31,PKE
2021-03-31,PLAB
2021-03-31,PLAY
2021-03-31,PLCE
2021-03-31,PLMR
2021-03-31,PLT
2021-03-31,PLUS
2021-03-31,PLXS
2021-03-31,PMT
2021-03-31,PNTG
2021-03-31,POWI
2021-03-31,POWL
2021-03-31,PPBI
2021-03-31,PRA
2021-03-31,PRAA
2021-03-31,PRDO
2021-03-31,PRFT
2021-03-31,PRGS
2021-03-31,PRK
2021-03-31,PRLB
2021-03-31,PSMT
2021-03-31,PTEN
2021-03-31,PUMP
2021-03-31,PVAC
2021-03-31,QNST
2021-03-31,RAVN
2021-03-31,RC
2021-03-31,RCII
2021-03-31,RCM
2021-03-31,RDNT
2021-03-31,REGI
2021-03-31,RES
2021-03-31,REX
2021-03-31,REZI
2021-03-31,RGNX
2021-03-31,RGP
2021-03-31,RGR
2021-03-31,RGS
2021-03-31,RLGY
2021-03-31,RMAX
2021-03-31,RMBS
2021-03-31,RNST
2021-03-31,ROCK
2021-03-31,ROG
2021-03-31,ROIC
2021-03-31,RPAI
2021-03-31,RPT
2021-03-31,RRC
2021-03-31,RRGB
2021-03-31,RUTH
2021-03-31,RWT
2021-03-31,RYAM
2021-03-31,SAFE
2021-03-31,SAFT
2021-03-31,SAH
2021-03-31,SAIA
2021-03-31,SANM
2021-03-31,SBCF
2021-03-31,SBH
2021-03-31,SBSI
2021-03-31,SCHL
2021-03-31,SCL
2021-03-31,SCSC
2021-03-31,SCVL
2021-03-31,SEM
2021-03-31,SENEA
2021-03-31,SFBS
2021-03-31,SFNC
2021-03-31,SGH
2021-03-31,SHAK
2021-03-31,SHEN
2021-03-31,SHOO
2021-03-31,SIG
2021-03-31,SITC
2021-03-31,SJI
2021-03-31,SKT
2021-03-31,SKYW
2021-03-31,SLCA
2021-03-31,SLP
2021-03-31,SM
2021-03-31,SMP
2021-03-31,SMPL
2021-03-31,SNBR
2021-03-31,SNEX
2021-03-31,SPOK
2021-03-31,SPPI
2021-03-31,SPSC
2021-03-31,SPTN
2021-03-31,SPXC
2021-03-31,SRDX
2021-03-31,SSP
2021-03-31,SSTK
2021-03-31,STAR
2021-03-31,STBA
2021-03-31,STC
2021-03-31,STMP
2021-03-31,SUPN
2021-03-31,SWM
2021-03-31,SWN
2021-03-31,SXC
2021-03-31,SXI
2021-03-31,SYKE
2021-03-31,TALO
2021-03-31,TBI
2021-03-31,TBK
2021-03-31,TCMD
2021-03-31,TG
2021-03-31,TGI
2021-03-31,THRM
2021-03-31,TILE
2021-03-31,TISI
2021-03-31,TMP
2021-03-31,TMST
2021-03-31,TNC
2021-03-31,TPRE
2021-03-31,TRHC
2021-03-31,TRST
2021-03-31,TRUP
2021-03-31,TSE
2021-03-31,TTEC
2021-03-31,TTGT
2021-03-31,TTMI
2021-03-31,TUP
2021-03-31,TVTY
2021-03-31,TWI
2021-03-31,UBA
2021-03-31,UCBI
2021-03-31,UCTT
2021-03-31,UEIC
2021-03-31,UFCS
2021-03-31,UFI
2021-03-31,UFPI
2021-03-31,UHT
2021-03-31,UIHC
2021-03-31,UIS
2021-03-31,UNF
2021-03-31,UNFI
2021-03-31,UNIT
2021-03-31,USCR
2021-03-31,USNA
2021-03-31,USPH
2021-03-31,UVE
2021-03-31,UVV
2021-03-31,VBTX
2021-03-31,VCEL
2021-03-31,VECO
2021-03-31,VG
2021-03-31,VGR
2021-03-31,VIAV
2021-03-31,VICR
2021-03-31,VIVO
2021-03-31,VNDA
2021-03-31,VRA
2021-03-31,VREX
2021-03-31,VRTS
2021-03-31,VRTV
2021-03-31,VSTO
2021-03-31,VTOL
2021-03-31,VVI
2021-03-31,WABC
2021-03-31,WD
2021-03-31,WDFC
2021-03-31,WDR
2021-03-31,WETF
2021-03-31,WGO
2021-03-31,WIRE
2021-03-31,WNC
2021-03-31,WRE
2021-03-31,WRLD
2021-03-31,WSFS
2021-03-31,WSR
2021-03-31,WTS
2021-03-31,WWW
2021-03-31,XHR
2021-03-31,XNCR
2021-03-31,XPER
2021-03-31,ZEUS
2021-03-31,ZUMZ
2021-03-31,ZYXI
