ticker,name,cik,gics_sector,gics_sub_industry,date_added
CENT,Central Garden & Pet Company,0000887733,Consumer Staples,Household Products,
CENTA,Central Garden & Pet Company (Class A),0000887733,Consumer Staples,Household Products,
CENX,Century Aluminum Company,0000949157,Materials,Aluminum,
CERT,"Certara, Inc.",0001827090,Health Care,Health Care Technology,
CFFN,Capitol Federal Savings Bank,0001490906,Financials,Regional Banks,
CHCO,City Holding Company,0000726854,Financials,Regional Banks,
CHEF,"Chefs' Warehouse, Inc.",0001517175,Consumer Staples,Food Distributors,
CLSK,"CleanSpark, Inc.",0000827876,Information Technology,Internet Services & Infrastructure,
CNK,"Cinemark Holdings, Inc.",0001385280,Communication Services,Movies & Entertainment,
CNMD,CONMED Corporation,0000816956,Health Care,Health Care Equipment,
CNR,"Core Natural Resources, Inc.",0001710366,Energy,Coal & Consumable Fuels,
CNS,"Cohen & Steers, Inc.",0001284812,Financials,Asset Management & Custody Banks,
CNXC,Concentrix,0001803599,Industrials,Data Processing & Outsourced Services,
CNXN,"PC Connection, Inc.",0001050377,Information Technology,Technology Distributors,
COCO,The Vita Coco Company,0001482981,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
COHU,"Cohu, Inc.",0000021535,Information Technology,Semiconductor Materials & Equipment,
COLL,"Collegium Pharmaceutical, Inc.",0001267565,Health Care,Pharmaceuticals,
CON,"Concentra Group Holdings Parent, Inc.",0002014596,Health Care,Health Care Services,
CORT,Corcept Therapeutics Incorporated,0001088856,Health Care,Pharmaceuticals,
COTY,Coty,0001024305,Consumer Staples,Personal Care Products,
CPB,The Campbell's Company,0000016732,Consumer Staples,Packaged Foods & Meats,
CPF,Central Pacific Financial Corp.,0000701347,Financials,Regional Banks,
CPK,Chesapeake Utilities Corp.,0000019745,Utilities,Gas Utilities,
CRC,California Resources Corporation,0001609253,Energy,Oil & Gas Exploration & Production,
CRGY,Crescent Energy Company,0001866175,Energy,Oil & Gas Exploration & Production,
CRI,"Carter's, Inc.",0001060822,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
CRK,"Comstock Resources, Inc.",0000023194,Energy,Oil & Gas Exploration & Production,
CRSR,Corsair Gaming,0001743759,Information Technology,"Technology Hardware, Storage & Peripherals",
CRVL,CorVel Corporation,0000874866,Health Care,Health Care Services,
CSR,Centerspace Trust,0000798359,Real Estate,Multi-Family Residential REITs,
CSW,"CSW Industrials, Inc.",0001624794,Industrials,Industrial Conglomerates,
CTS,CTS Corporation,0000026058,Information Technology,Electronic Manufacturing Services,
CUBI,"Customers Bancorp, Inc.",0001488813,Financials,Regional Banks,
CURB,Curbline Properties Corp.,0002027317,Real Estate,Retail REITs,
CVBF,CVB Financial Corp.,0000354647,Financials,Regional Banks,
CVCO,"Cavco Industries, Inc.",0000278166,Consumer Discretionary,Homebuilding,
CVI,"CVR Energy, Inc.",0001376139,Energy,Oil & Gas Refining & Marketing,
CVSA,Covista Inc.,0000730464,Consumer Discretionary,Education Services,
CWEN,"Clearway Energy, Inc. (Class C)",0001567683,Utilities,Renewable Electricity,
CWEN.A,"Clearway Energy, Inc. (Class A)",0001567683,Utilities,Renewable Electricity,
CWK,Cushman & Wakefield plc,0001628369,Real Estate,Real Estate Services,
CWST,"Casella Waste Systems, Inc.",0000911177,Industrials,Environmental & Facilities Services,
CWT,California Water Service Group,0001035201,Utilities,Water Utilities,
CXM,"Sprinklr, Inc.",0001569345,Information Technology,Application Software,
CXW,CoreCivic,0001070985,Industrials,Diversified Support Services,
CZR,Caesars Entertainment,0001590895,Consumer Discretionary,Casinos & Gaming,
DAN,Dana Incorporated,0000026780,Consumer Discretionary,Automotive Parts & Equipment,
DAVE,"Dave, Inc.",0001841408,Financials,Consumer Finance,
DBD,Diebold Nixdorf,0000028823,Information Technology,Electronic Equipment & Instruments,
