effective_date,ticker
2004-12-30,A
2004-12-30,AABA
2004-12-30,AAPL
2004-12-30,ABC
2004-12-30,ABI
2004-12-30,ABKFQ
2004-12-30,ABS
2004-12-30,ABT
2004-12-30,ACS
2004-12-30,ACV
2004-12-30,ADBE
2004-12-30,ADCT
2004-12-30,ADI
2004-12-30,ADM
2004-12-30,ADP
2004-12-30,ADSK
2004-12-30,AEE
2004-12-30,AEP
2004-12-30,AES
2004-12-30,AET
2004-12-30,AFL
2004-12-30,AGN
2004-12-30,AIG
2004-12-30,AIV
2004-12-30,ALL
2004-12-30,ALTR
2004-12-30,AMAT
2004-12-30,AMCC
2004-12-30,AMD
2004-12-30,AMGN
2004-12-30,AN
2004-12-30,ANDW
2004-12-30,ANTM
2004-12-30,AON
2004-12-30,APA
2004-12-30,APC
2004-12-30,APCC
2004-12-30,APD
2004-12-30,APOL
2004-12-30,ARNC
2004-12-30,ASH
2004-12-30,ASN
2004-12-30,ASO
2004-12-30,AT
2004-12-30,ATI
2004-12-30,AV
2004-12-30,AVP
2004-12-30,AVY
2004-12-30,AW
2004-12-30,AXP
2004-12-30,AYE
2004-12-30,AZO
2004-12-30,BA
2004-12-30,BAC
2004-12-30,BAX
2004-12-30,BBBY
2004-12-30,BBT
2004-12-30,BBY
2004-12-30,BC
2004-12-30,BCR
2004-12-30,BDK
2004-12-30,BDX
2004-12-30,BEAM
2004-12-30,BEN
2004-12-30,BF.B
2004-12-30,BHGE
2004-12-30,BIG
2004-12-30,BIIB
2004-12-30,BJS
2004-12-30,BK
2004-12-30,BLL
2004-12-30,BLS
2004-12-30,BMC
2004-12-30,BMET
2004-12-30,BMS
2004-12-30,BMY
2004-12-30,BNI
2004-12-30,BOL
2004-12-30,BR
2004-12-30,BRCM
2004-12-30,BSC
2004-12-30,BSX
2004-12-30,BUD
2004-12-30,C
2004-12-30,CA
2004-12-30,CAG
2004-12-30,CAH
2004-12-30,CAR
2004-12-30,CAT
2004-12-30,CB
2004-12-30,CBE
2004-12-30,CBS
2004-12-30,CBSS
2004-12-30,CCE
2004-12-30,CCL
2004-12-30,CCTYQ
2004-12-30,CCU
2004-12-30,CEG
2004-12-30,CFC
2004-12-30,CHIR
2004-12-30,CI
2004-12-30,CIEN
2004-12-30,CIN
2004-12-30,CINF
2004-12-30,CITGQ
2004-12-30,CL
2004-12-30,CLX
